stage,quintile,rate_pct,ci_lo,ci_hi
sft,1,10.185185185185185,6.018518518518518,15.277777777777779
sft,2,9.49074074074074,4.861111111111112,14.35185185185185
sft,3,16.203703703703702,9.722222222222223,23.148148148148145
sft,4,47.652582159624416,38.25704225352112,57.042253521126774
sft,5,76.99530516431925,67.84037558685446,85.68075117370893
rlvr,1,3.076923076923077,0.0,6.923076923076923
rlvr,2,4.6875,0.78125,9.375
rlvr,3,13.28125,7.03125,21.09375
rlvr,4,44.53125,34.375,55.46875
rlvr,5,82.8125,73.4375,91.40625
